sentiment,text,user
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","kingj69445478"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","CarlKajak"
"neutral","RT @ukraine_world: Mariott hotel chain suspends operations in Russia.\n\nThe company said that 85 hotels now provide housing for refugees fro…","JostikSepgu"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","MeaganABrown"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","ichnich89648258"
"neutral","RT @antiputler_news: 🔵🟡 Вагнер в Лимане отказываться сражаться из-за того, что они  не хотят форсировать хорошо защищенную реку Северского…","IsleyConst"
"neutral","Näin #Venäjä n pääuutiskanavalla illalla: \"Erikoisoperaatio Ukrainassa ohi. Tarkoitus on nyt demilitarisoida koko… https://t.co/IBQn7ZYzmy","TemppuTerava"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","CateSpeech"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","A_Woronecki"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","Missfortuneskin"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","EDMARTING"
"neutral","RT @antiputler_news: 🔵🟡 Пленные рашисты, которые ехали на учения, у стены в Северодонецке.\n\nP.S.  Ну что, сепарье, боты и фанатики, город в…","IhorSame"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","tdjedruchow"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","stopmadmanputin"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","JoMeh7"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","cosmos58202"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","jasszymon65"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","CDohert17593121"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","wadakashiho"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","Alexandra1UApro"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","DaGodfather59"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","ukraineinfobot"
"neutral","RT @gaijin_no_tweet: ❗️現在リヴィウ地方で聞こえる爆発は防空システムからだそう。\n\n#ウクライナ\n#StopRussia","millionmiler4"
"neutral","Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded.… https://t.co/UrziWaNzy6","IuliiaMendel"
"negative","RT @Mariana_Betsa: Oleksandr from Mariupol. Russia killed his wife, his mother, ruined his home. He lost his eye, spent a month in ruined M…","paoloappe"
